Voisin0,Voisin1,Voisin2,Voisin3,Voisin4,Voisin5,Voisin6,Voisin7,Voisin8,Voisin9
0,3028,4791,18403,3923,2210,10130,24657,24734,12226
1,59,2078,2010,4801,990,2315,12292,10965,12692
2,249,234,374,2340,1742,1491,546,3524,791
3,538,1805,6140,3734,193,8265,1420,2285,8286
4,815,2241,516,275,87,245,2112,1977,201
5,1017,6765,7982,46518,2194,163,15289,12287,3673
6,286,696,38,464,1707,67,1518,2621,2586
7,813,603,156,968,235,1994,1530,795,699
8,202,20526,7265,4437,3356,4293,4771,18530,248
9,490,1339,1662,1502,2996,3912,15820,721,2905
10,278,875,2088,1582,2042,1802,823,1492,51
11,827,3695,2522,1921,2614,3603,6779,2080,30717
12,2006,6780,11879,3525,12252,5014,2002,25227,10551
13,768,1368,1335,42,642,753,14201,279,274
14,23317,10877,4661,548,2321,2322,923,8517,7682
15,244,1429,3693,11335,6687,427,3242,35,1732
16,7416,1027,213,511,442,530,27,1327,1586
17,1381,102,510,13828,142,655,329,338,1792
18,321,579,309,803,231,433,1460,514,3162
19,1398,4932,143,6896,5530,13012,10864,6893,416
20,1632,16746,2027,2458,3918,8006,15081,8741,9194
21,15722,4770,14774,3445,6225,26880,34106,8964,6034
22,183,1700,285,1719,4404,4257,3654,475,7314
23,3901,7489,6569,3610,4619,7490,1532,6086,12258
24,246,607,505,1626,1621,1362,299,2858,1833
25,145,258,973,1615,1031,833,297,448,2355
26,527,3103,33,259,19234,12675,79,238,10750
27,7416,1645,1027,16,3890,4051,2773,213,511
28,6793,7012,4779,18926,10240,2090,12019,4923,12336
29,115,427,11335,4284,3242,9284,6687,15,10444
30,354,987,820,365,533,56,361,350,268
31,13318,101,2262,4967,14058,4783,13708,14541,1926
32,19972,23461,148,18781,22881,20693,4361,4351,22091
33,527,259,3103,26,19234,79,10750,12675,25342
34,1504,219,84,789,1942,1039,1623,2359,1814
35,1732,95,287,244,15,1429,3061,3693,2934
36,4288,13198,9348,4766,4359,4365,4769,10902,12474
37,6450,825,3312,12088,1653,53,1002,1999,865
38,696,67,6,286,1707,335,413,2586,464
39,638,876,306,879,217,276,519,1777,1402
40,72,3954,6137,1214,4872,747,212,4130,12350
41,682,21167,4250,4478,4394,380,11883,6866,4372
42,14201,753,642,13,836,768,1368,173,3164
43,3797,2289,4945,5367,2741,1624,21131,645,3785
44,316,6095,43126,5320,28258,14684,9589,7749,13324
45,73,599,138,465,103,1675,1455,267,205
46,4133,254,1422,5614,4837,3133,7392,7236,331
47,770,1998,1010,24945,1449,5531,24986,1004,2013
48,8027,566,2536,28667,1796,7460,4248,2092,9042
49,1067,2495,5532,8196,4412,1070,6928,1064,24360
